,Unnamed: 0,school,team,city,state_province,primary_conference,ncaa,team_page,svg_url
879,879,Millsaps College,Majors and Lady Majors,Jackson,MS,Southern Athletic Association,3,,
880,880,Milwaukee School of Engineering,Raiders,Milwaukee,WI,Northern Athletics Collegiate Conference,3,/wiki/Wright_State_Raiders,https://upload.wikimedia.org/wikipedia/en/c/c2/Wright_State_Raiders_logo.svg
881,881,University of Minnesota Morris,Cougars,Morris,MN,Upper Midwest Athletic Conference,3,/wiki/Washington_State_Cougars,https://upload.wikimedia.org/wikipedia/en/0/07/Washington_State_Cougars_logo.svg
882,882,Misericordia University,Cougars,Dallas,PA,MAC Freedom,3,/wiki/Washington_State_Cougars,https://upload.wikimedia.org/wikipedia/en/0/07/Washington_State_Cougars_logo.svg
883,883,Mississippi University for Women[A 14],Owls,Columbus,MS,Independent(St. Louis Intercollegiate Athletic Conference in 2022),3,,
884,884,Mitchell College,Mariners,New London,CT,New England Collegiate Conference,3,,
885,885,Monmouth College,Scots,Monmouth,IL,Midwest Conference,3,,
886,886,Montclair State University,Red Hawks,Montclair,NJ,New Jersey Athletic Conference,3,,
887,887,Moravian College,Greyhounds,Bethlehem,PA,Landmark Conference,3,/wiki/Loyola_Greyhounds,https://upload.wikimedia.org/wikipedia/en/e/e5/Loyola_Greyhounds_Official_Logo.png
888,888,Morrisville State College,Mustangs,Morrisville,NY,United East Conference,3,/wiki/SMU_Mustangs,https://upload.wikimedia.org/wikipedia/commons/3/33/SMU_Mustang_logo.svg
889,889,Mount Aloysius College,Mounties,Cresson,PA,Allegheny Mountain Collegiate Conference,3,,
890,890,Mount Holyoke College,Lyons,South Hadley,MA,New England Women's and Men's Athletic Conference,3,,
891,891,Mount Mary University,Blue Angels,Milwaukee,WI,Coast to Coast Athletic Conference,3,,
892,892,Mount St. Joseph University,Lions,Cincinnati,OH,Heartland Collegiate Athletic Conference,3,/wiki/Texas_A%26M%E2%80%93Commerce_Lions,https://upload.wikimedia.org/wikipedia/en/f/f8/Texas_A%26M%E2%80%93Commerce_Lions_logo.svg
893,893,Mount Saint Mary College,Knights,Newburgh,NY,Skyline Conference,3,/wiki/UCF_Knights,https://upload.wikimedia.org/wikipedia/commons/f/fd/UCF_Knights_logo.svg
894,894,College of Mount Saint Vincent,Dolphins,The Bronx,NY,Skyline Conference,3,/wiki/Jacksonville_Dolphins,https://upload.wikimedia.org/wikipedia/commons/e/e3/Jacksonville_Dolphins_logo_2018.svg
895,895,University of Mount Union,Purple Raiders,Alliance,OH,Ohio Athletic Conference,3,,
896,896,Muhlenberg College,Mules,Allentown,PA,Centennial Conference,3,,
897,897,Muskingum University,Fighting Muskies,New Concord,OH,Ohio Athletic Conference,3,,
898,898,Nazareth College,Golden Flyers,Pittsford,NY,Empire 8,3,,
899,899,Nebraska Wesleyan University,Prairie Wolves,Lincoln,NE,American Rivers Conference,3,,
900,900,Neumann University,Knights,Aston,PA,Atlantic East Conference,3,/wiki/UCF_Knights,https://upload.wikimedia.org/wikipedia/commons/f/fd/UCF_Knights_logo.svg
901,901,New England College,Pilgrims,Henniker,NH,New England Collegiate Conference,3,,
902,902,University of New England,Nor'easters,Biddeford,ME,Commonwealth Coast Conference,3,,
903,903,The College of New Jersey,Lions,Ewing,NJ,New Jersey Athletic Conference,3,/wiki/Texas_A%26M%E2%80%93Commerce_Lions,https://upload.wikimedia.org/wikipedia/en/f/f8/Texas_A%26M%E2%80%93Commerce_Lions_logo.svg
904,904,New Jersey City University,Gothic Knights,Jersey City,NJ,New Jersey Athletic Conference,3,,
905,905,State University of New York at Brockport,Golden Eagles,Brockport,NY,State University of New York Athletic Conference,3,/wiki/Southern_Miss_Golden_Eagles,https://upload.wikimedia.org/wikipedia/en/5/5d/Southern_Miss_Athletics_logo.svg
906,906,State University of New York at Canton,Kangaroos,Canton,NY,North Atlantic Conference,3,,
907,907,State University of New York at Cobleskill,Fighting Tigers,Cobleskill,NY,North Atlantic Conference,3,,
908,908,State University of New York at Cortland,Red Dragons,Cortland,NY,State University of New York Athletic Conference,3,,
909,909,State University of New York at Delhi,Broncos,Delhi,NY,North Atlantic Conference,3,/wiki/Western_Michigan_Broncos,https://upload.wikimedia.org/wikipedia/en/b/b0/Western_Michigan_Broncos_%282021%29_logo.svg
910,910,State University of New York at Fredonia,Blue Devils,Fredonia,NY,State University of New York Athletic Conference,3,/wiki/Duke_Blue_Devils,https://upload.wikimedia.org/wikipedia/commons/e/e1/Duke_Athletics_logo.svg
911,911,State University of New York at Geneseo,Knights,Geneseo,NY,State University of New York Athletic Conference,3,/wiki/UCF_Knights,https://upload.wikimedia.org/wikipedia/commons/f/fd/UCF_Knights_logo.svg
912,912,State University of New York Maritime College,Privateers,The Bronx,NY,Skyline Conference,3,/wiki/New_Orleans_Privateers,https://upload.wikimedia.org/wikipedia/en/2/27/New_Orleans_Privateers_logo.svg
913,913,State University of New York Polytechnic Institute,Wildcats,Marcy,NY,North Atlantic Conference,3,/wiki/Weber_State_Wildcats,https://upload.wikimedia.org/wikipedia/en/f/f2/Weber_State_Wildcats_logo.svg
914,914,State University of New York at New Paltz,Hawks,New Paltz,NY,State University of New York Athletic Conference,3,/wiki/UMES_Hawks,https://upload.wikimedia.org/wikipedia/en/6/65/Maryland_Eastern_Shore_Hawks_logo.svg
915,915,State University of New York at Old Westbury,Panthers,Old Westbury,NY,Skyline Conference,3,/wiki/Milwaukee_Panthers,https://upload.wikimedia.org/wikipedia/commons/3/36/Milwaukee_Panthers_letter_logo.svg
916,916,State University of New York at Oneonta,Red Dragons,Oneonta,NY,State University of New York Athletic Conference,3,,
917,917,State University of New York at Oswego,Lakers,Oswego,NY,State University of New York Athletic Conference,3,,
918,918,State University of New York at Plattsburgh,Cardinals,Plattsburgh,NY,State University of New York Athletic Conference,3,/wiki/University_of_the_Incarnate_Word_Cardinals,https://upload.wikimedia.org/wikipedia/en/e/ea/Incarnate_Word_Cardinals_logo.svg
919,919,State University of New York at Potsdam,Bears,Potsdam,NY,State University of New York Athletic Conference,3,/wiki/Northern_Colorado_Bears,https://upload.wikimedia.org/wikipedia/en/f/f9/Northern_Colorado_Bears_logo.svg
920,920,State University of New York at Purchase,Panthers,Purchase,NY,Skyline Conference,3,/wiki/Milwaukee_Panthers,https://upload.wikimedia.org/wikipedia/commons/3/36/Milwaukee_Panthers_letter_logo.svg
921,921,New York University (NYU),Violets,New York,NY,University Athletic Association,3,,
922,922,Nichols College,Bison,Dudley,MA,Commonwealth Coast Conference,3,/wiki/North_Dakota_State_Bison,https://upload.wikimedia.org/wikipedia/en/7/74/North_Dakota_State_Bison_logo.svg
923,923,North Carolina Wesleyan College,Bishops,Rocky Mount,NC,USA South Athletic Conference,3,,
924,924,North Central College,Cardinals,Naperville,IL,College Conference of Illinois and Wisconsin,3,/wiki/University_of_the_Incarnate_Word_Cardinals,https://upload.wikimedia.org/wikipedia/en/e/ea/Incarnate_Word_Cardinals_logo.svg
925,925,North Central University,Rams,Minneapolis,MN,Upper Midwest Athletic Conference,3,/wiki/VCU_Rams,https://upload.wikimedia.org/wikipedia/commons/b/bf/VCU_Rams_logo.svg
926,926,North Park University,Vikings,Chicago,IL,College Conference of Illinois and Wisconsin,3,/wiki/Portland_State_Vikings,https://upload.wikimedia.org/wikipedia/commons/4/48/Portland_State_Vikings_logo.svg
927,927,Northern Vermont University–Johnson,Badgers,Johnson,VT,North Atlantic Conference,3,/wiki/Wisconsin_Badgers,https://upload.wikimedia.org/wikipedia/commons/e/e5/Wisconsin_Badgers_logo.svg
928,928,Northern Vermont University–Lyndon,Hornets,Lyndonville,VT,North Atlantic Conference,3,/wiki/Delaware_State_Hornets,https://upload.wikimedia.org/wikipedia/en/d/db/Delaware_State_Hornets_logo.svg
929,929,Northland College,Lumberjacks and Lumberjills,Ashland,WI,Upper Midwest Athletic Conference,3,,
930,930,University of Northwestern – St. Paul,Eagles,Roseville,MN,Upper Midwest Athletic Conference,3,,
931,931,Norwich University,Cadets,Northfield,VT,Great Northeast Athletic Conference,3,,
932,932,Notre Dame of Maryland University,Gators,Baltimore,MD,Colonial States Athletic Conference,3,/wiki/Florida_Gators,https://upload.wikimedia.org/wikipedia/en/1/14/Florida_Gators_gator_logo.svg
933,933,Oberlin College,Yeomen and Yeowomen,Oberlin,OH,North Coast Athletic Conference,3,,
934,934,Occidental College,Tigers,Los Angeles,CA,Southern California Intercollegiate Athletic Conference,3,/wiki/Pacific_Tigers,https://upload.wikimedia.org/wikipedia/en/5/5e/Pacific_Tigers_logo.svg
935,935,Oglethorpe University,Stormy Petrels,Atlanta,GA,Southern Athletic Association,3,,
936,936,Ohio Northern University,Polar Bears,Ada,OH,Ohio Athletic Conference,3,,
937,937,Ohio Wesleyan University,Battling Bishops,Delaware,OH,North Coast Athletic Conference,3,,
938,938,Olivet College,Comets,Olivet,MI,Michigan Intercollegiate Athletic Association,3,,
939,939,Otterbein University,Cardinals,Westerville,OH,Ohio Athletic Conference,3,/wiki/University_of_the_Incarnate_Word_Cardinals,https://upload.wikimedia.org/wikipedia/en/e/ea/Incarnate_Word_Cardinals_logo.svg
940,940,University of the Ozarks,Eagles,Clarksville,AR,American Southwest Conference,3,,
941,941,Pacific Lutheran University,Lutes,Tacoma,WA,Northwest Conference,3,,
942,942,Pacific University,Boxers,Forest Grove,OR,Northwest Conference,3,,
943,943,Pennsylvania College of Technology,Wildcats,Williamsport,PA,United East Conference,3,/wiki/Weber_State_Wildcats,https://upload.wikimedia.org/wikipedia/en/f/f2/Weber_State_Wildcats_logo.svg
944,944,"Pennsylvania State University, Abington",Nittany Lions,Abington,PA,United East Conference,3,/wiki/Penn_State_Nittany_Lions,https://upload.wikimedia.org/wikipedia/en/3/3a/Penn_State_Nittany_Lions_logo.svg
945,945,"Pennsylvania State University, Altoona",Lions,Altoona,PA,Allegheny Mountain Collegiate Conference,3,/wiki/Texas_A%26M%E2%80%93Commerce_Lions,https://upload.wikimedia.org/wikipedia/en/f/f8/Texas_A%26M%E2%80%93Commerce_Lions_logo.svg
946,946,"Pennsylvania State University, Berks College",Nittany Lions,Reading,PA,United East Conference,3,/wiki/Penn_State_Nittany_Lions,https://upload.wikimedia.org/wikipedia/en/3/3a/Penn_State_Nittany_Lions_logo.svg
947,947,"Pennsylvania State University, Erie",Lions,Erie,PA,Allegheny Mountain Collegiate Conference,3,/wiki/Texas_A%26M%E2%80%93Commerce_Lions,https://upload.wikimedia.org/wikipedia/en/f/f8/Texas_A%26M%E2%80%93Commerce_Lions_logo.svg
948,948,"Pennsylvania State University, Harrisburg",Lions,Harrisburg,PA,United East Conference,3,/wiki/Texas_A%26M%E2%80%93Commerce_Lions,https://upload.wikimedia.org/wikipedia/en/f/f8/Texas_A%26M%E2%80%93Commerce_Lions_logo.svg
949,949,Pfeiffer University,Falcons,Misenheimer,NC,USA South Athletic Conference,3,/wiki/Air_Force_Falcons,https://upload.wikimedia.org/wikipedia/commons/d/dc/Air_Force_Falcons_logo.svg
950,950,Piedmont University,Lions,Demorest,GA,USA South Athletic Conference(Collegiate Conference of the South in 2022),3,/wiki/Texas_A%26M%E2%80%93Commerce_Lions,https://upload.wikimedia.org/wikipedia/en/f/f8/Texas_A%26M%E2%80%93Commerce_Lions_logo.svg
951,951,University of Pittsburgh at Bradford,Panthers,Bradford,PA,Allegheny Mountain Collegiate Conference,3,/wiki/Milwaukee_Panthers,https://upload.wikimedia.org/wikipedia/commons/3/36/Milwaukee_Panthers_letter_logo.svg
952,952,University of Pittsburgh at Greensburg,Bobcats,Greensburg,PA,Allegheny Mountain Collegiate Conference,3,/wiki/Ohio_Bobcats,https://upload.wikimedia.org/wikipedia/en/7/78/Ohio_Bobcats_logo.svg
953,953,Plymouth State University,Panthers,Plymouth,NH,Little East Conference,3,/wiki/Milwaukee_Panthers,https://upload.wikimedia.org/wikipedia/commons/3/36/Milwaukee_Panthers_letter_logo.svg
954,954,Pomona College and Pitzer College,Sagehens,Claremont,CA,Southern California Intercollegiate Athletic Conference,3,,
955,955,Pratt Institute[A 14],Cannoneers,Brooklyn,NY,Coast to Coast Athletic Conference,3,,
956,956,Principia College,Panthers,Elsah,IL,St. Louis Intercollegiate Athletic Conference,3,/wiki/Milwaukee_Panthers,https://upload.wikimedia.org/wikipedia/commons/3/36/Milwaukee_Panthers_letter_logo.svg
957,957,University of Puget Sound,Loggers,Tacoma,WA,Northwest Conference,3,,
958,958,Ramapo College,Roadrunners,Mahwah,NJ,New Jersey Athletic Conference,3,/wiki/UTSA_Roadrunners,https://upload.wikimedia.org/wikipedia/commons/8/84/UTSA_Roadrunners_logo.svg
959,959,Randolph College,WildCats,Lynchburg,VA,Old Dominion Athletic Conference,3,,
960,960,Randolph–Macon College,Yellow Jackets,Ashland,VA,Old Dominion Athletic Conference,3,/wiki/Georgia_Tech_Yellow_Jackets,https://upload.wikimedia.org/wikipedia/commons/b/bf/Georgia_Tech_Yellow_Jackets_logo.svg
961,961,University of Redlands,Bulldogs,Redlands,CA,Southern California Intercollegiate Athletic Conference,3,/wiki/Yale_Bulldogs,https://upload.wikimedia.org/wikipedia/en/e/e5/Yale_Bulldogs_logo.svg
962,962,Regis College,Pride,Weston,MA,Great Northeast Athletic Conference,3,/wiki/Hofstra_Pride,https://upload.wikimedia.org/wikipedia/en/1/12/Hofstra_Pride_logo.svg
963,963,Rensselaer Polytechnic Institute[A 5][A 6],Engineers,Troy,NY,Liberty League,3,,
964,964,Rhode Island College,Anchormen,Providence,RI,Little East Conference,3,,
965,965,Rhodes College,Lynx,Memphis,TN,Southern Athletic Association,3,,
966,966,Ripon College,Red Hawks,Ripon,WI,Midwest Conference,3,,
967,967,Rivier University,Raiders,Nashua,NH,Great Northeast Athletic Conference,3,/wiki/Wright_State_Raiders,https://upload.wikimedia.org/wikipedia/en/c/c2/Wright_State_Raiders_logo.svg
968,968,Roanoke College,Maroons,Salem,VA,Old Dominion Athletic Conference,3,,
969,969,University of Rochester,Yellowjackets,Rochester,NY,University Athletic Association,3,,
970,970,Rochester Institute of Technology[A 15][A 16],Tigers,Rochester,NY,Liberty League,3,/wiki/Pacific_Tigers,https://upload.wikimedia.org/wikipedia/en/5/5e/Pacific_Tigers_logo.svg
971,971,Rockford University,Regents,Rockford,IL,Northern Athletics Collegiate Conference,3,,
972,972,Roger Williams University,Hawks,Bristol,RI,Commonwealth Coast Conference,3,/wiki/UMES_Hawks,https://upload.wikimedia.org/wikipedia/en/6/65/Maryland_Eastern_Shore_Hawks_logo.svg
973,973,Rose-Hulman Institute of Technology,Fightin' Engineers,Terre Haute,IN,Heartland Collegiate Athletic Conference,3,,
974,974,Rosemont College,Ravens,Rosement,PA,Colonial States Athletic Conference,3,,
975,975,Rowan University,Profs,Glassboro,NJ,New Jersey Athletic Conference,3,,
976,976,Rutgers University–Camden,Scarlet Raptors,Camden,NJ,New Jersey Athletic Conference,3,,
977,977,Rutgers University–Newark,Scarlet Raiders,Newark,NJ,New Jersey Athletic Conference,3,,
