,URL,Division,Location,School,Logo,Conference,Nickname,Colors
56,https://www.ncaa.com/schools/aurora,Division III,"Aurora, IL",Aurora University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/aurora.svg,Northern Athletics Collegiate,Spartans,Royal Blue & White
57,https://www.ncaa.com/schools/austin,Division III,"Sherman, TX",Austin College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/austin.svg,Southern Collegiate Athletic,Kangaroos,Crimson & Gold
58,https://www.ncaa.com/schools/austin-peay,Division I,"Clarksville, TN",Austin Peay State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/austin-peay.svg,Ohio Valley,Governors,Red & White
59,https://www.ncaa.com/schools/averett,Division III,"Danville, VA",Averett University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/averett.svg,USA South Athletic,Cougars,Navy & Gold
60,https://www.ncaa.com/schools/azusa-pacific,Division II,"Azusa, CA",Azusa Pacific University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/azusa-pacific.svg,Pacific West,Cougars,Black & Brick
61,https://www.ncaa.com/schools/babson,Division III,"Babson Park, MA",Babson College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/babson.svg,New England Women's and Men's Athletic,Beavers,Green & White
62,https://www.ncaa.com/schools/bakersfield,Division I,"Bakersfield, CA",CSU Bakersfield,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bakersfield.svg,Big West,Roadrunners,Blue & Gold
63,https://www.ncaa.com/schools/baldwin-wallace,Division III,"Berea, OH",Baldwin Wallace University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/baldwin-wallace.svg,Ohio Athletic,Yellow Jackets,Brown & #010101
64,https://www.ncaa.com/schools/ball-st,Division I,"Muncie, IN",Ball State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ball-st.svg,Mid-American,Cardinals,Cardinal & White
65,https://www.ncaa.com/schools/baptist-bible-pa,Division III,"Clarks Summit, PA",Clarks Summit University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/baptist-bible-pa.svg,Colonial States Athletic,Defenders,"Royal Blue, Cool Grey, Charcoal"
66,https://www.ncaa.com/schools/bard,Division III,Annandale,Bard College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bard.svg,Liberty League,Raptors,Black & White
67,https://www.ncaa.com/schools/barry,Division II,"Miami Shores, FL",Barry University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/barry.svg,Sunshine State,Buccaneers,"Red, Black & Silver"
68,https://www.ncaa.com/schools/barton,Division II,"Wilson, NC",Barton College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/barton.svg,Carolinas,Bulldogs,Royal Blue & White
