,school,team,city,state_province,primary_conference,ncaa,team_page
111,Louisiana State University and Agricultural and Mechanical College,Tigers,Baton Rouge,LA,Southeastern Conference,1,/wiki/Pacific_Tigers
112,Louisiana Tech University,Bulldogs,Ruston,LA,Conference USA,1,/wiki/Yale_Bulldogs
113,Loyola Marymount University,Lions,Los Angeles,CA,West Coast Conference,1,/wiki/Texas_A%26M%E2%80%93Commerce_Lions
114,Loyola University Chicago,Ramblers,Chicago,IL,Atlantic 10 Conference,1,/wiki/Loyola_Ramblers
115,Loyola University Maryland,Greyhounds,Baltimore,MD,Patriot League,1,/wiki/Loyola_Greyhounds
116,Manhattan College,Jaspers,New York,NY,Metro Atlantic Athletic Conference,1,/wiki/Manhattan_Jaspers_and_Lady_Jaspers
117,Marist College,Red Foxes,Poughkeepsie,NY,Metro Atlantic Athletic Conference,1,/wiki/Marist_Red_Foxes
118,Marquette University,Golden Eagles,Milwaukee,WI,Big East Conference,1,/wiki/Southern_Miss_Golden_Eagles
119,Marshall University,Thundering Herd,Huntington,WV,Conference USA,1,/wiki/Marshall_Thundering_Herd
120,McNeese State University,Cowboys,Lake Charles,LA,Southland Conference,1,/wiki/Wyoming_Cowboys_and_Cowgirls
121,Mercer University,Bears,Macon,GA,Southern Conference,1,/wiki/Northern_Colorado_Bears
122,Miami University,RedHawks,Oxford,OH,Mid-American Conference,1,/wiki/Miami_RedHawks
123,Michigan State University,Spartans,East Lansing,MI,Big Ten Conference,1,/wiki/USC_Upstate_Spartans
124,Middle Tennessee State University,Blue Raiders,Murfreesboro,TN,Conference USA,1,/wiki/Middle_Tennessee_Blue_Raiders
125,Mississippi State University for Agriculture and Applied Science,Bulldogs,Starkville,MS,Southeastern Conference,1,/wiki/Yale_Bulldogs
126,Mississippi Valley State University,Delta Devils,Itta Bena,MS,Southwestern Athletic Conference,1,/wiki/Mississippi_Valley_State_Delta_Devils_and_Devilettes
127,Missouri State University,Bears,Springfield,MO,Missouri Valley Conference,1,/wiki/Northern_Colorado_Bears
128,Monmouth University,Hawks,West Long Branch,NJ,Colonial Athletic Association,1,/wiki/UMES_Hawks
129,Montana State University,Bobcats,Bozeman,MT,Big Sky Conference,1,/wiki/Ohio_Bobcats
130,Morehead State University,Eagles,Morehead,KY,Ohio Valley Conference,1,
131,Morgan State University,Bears,Baltimore,MD,Mid-Eastern Athletic Conference,1,/wiki/Northern_Colorado_Bears
132,Mount Saint Mary's University,Mountaineers,Emmitsburg,MD,Northeast Conference,1,/wiki/West_Virginia_Mountaineers
133,Murray State University,Racers,Murray,KY,Missouri Valley Conference,1,/wiki/Murray_State_Racers
134,New Jersey Institute of Technology,Highlanders,Newark,NJ,America East Conference,1,/wiki/UC_Riverside_Highlanders
135,New Mexico State University,Aggies,Las Cruces,NM,Western Athletic Conference,1,/wiki/Utah_State_Aggies
136,Niagara University,Purple Eagles,Lewiston,NY,Metro Atlantic Athletic Conference,1,/wiki/Niagara_Purple_Eagles
137,Nicholls State University,Colonels,Thibodaux,LA,Southland Conference,1,/wiki/Nicholls_Colonels
138,Norfolk State University,Spartans,Norfolk,VA,Mid-Eastern Athletic Conference,1,/wiki/USC_Upstate_Spartans
139,North Carolina Agricultural and Technical State University,Aggies,Greensboro,NC,Big South Conference,1,/wiki/Utah_State_Aggies
140,North Carolina Central University,Eagles,Durham,NC,Mid-Eastern Athletic Conference,1,
141,North Carolina State University,Wolfpack,Raleigh,NC,Atlantic Coast Conference,1,/wiki/NC_State_Wolfpack
142,North Dakota State University of Agriculture and Applied Sciences,Bison,Fargo,ND,Summit League,1,/wiki/North_Dakota_State_Bison
143,Northeastern University,Huskies,Boston,MA,Colonial Athletic Association,1,/wiki/Washington_Huskies
144,Northern Arizona University,Lumberjacks,Flagstaff,AZ,Big Sky Conference,1,/wiki/Stephen_F._Austin_Lumberjacks_and_Ladyjacks
145,Northern Illinois University,Huskies,DeKalb,IL,Mid-American Conference,1,/wiki/Washington_Huskies
146,Northern Kentucky University,Norse,Highland Heights,KY,Horizon League,1,/wiki/Northern_Kentucky_Norse
